weight,scope,denominator,threshold,measure,variable,mean,ci_pre_oop,ci_pcep,ci_delta,rank_weighted_pre_oop
hhs_wt,oopg,total,.1,headcount,che_oopg_tot10,.0739960321624281,.049016863,-.1847786,.23379546,.0703689788943574
hhs_wt,oopg,total,.1,overshoot,over_oopg_tot10,.0083972837304894,.25621942,-.20481457,.461034,.0062457364780066
hhs_wt,oop,total,.1,headcount,che_oop_tot10,.1847377266789791,.078059949,-.11315193,.19121188,.1703171097579596
hhs_wt,oop,total,.1,overshoot,over_oop_tot10,.0312296834592561,.31024951,-.18451767,.49476716,.0215406899574942
hhs_wt,oopg,total,.2,headcount,che_oopg_tot20,.0266078580771431,.18019684,-.23997688,.42017373,.0218132063008356
hhs_wt,oopg,total,.2,overshoot,over_oopg_tot20,.003985419269588,.42288512,-.19904046,.62192559,.0023000447341628
hhs_wt,oop,total,.2,headcount,che_oop_tot20,.0780286069763674,.16148326,-.17829786,.33978114,.0654282930397038
hhs_wt,oop,total,.2,overshoot,over_oop_tot20,.0191506951018635,.43635207,-.20867595,.64502805,.0107942493298291
hhs_wt,oopg,nonfood,.25,headcount,che_oopg_nf25,.0498121162228454,.055247165,-.24046728,.29571444,.0470601380953859
hhs_wt,oopg,nonfood,.25,overshoot,over_oopg_nf25,.0087432084348115,.22885613,-.23870291,.46755904,.0067422716158812
hhs_wt,oop,nonfood,.25,headcount,che_oop_nf25,.1427282041774091,.066160083,-.16089757,.22705765,.133285294439049
hhs_wt,oop,nonfood,.25,overshoot,over_oop_nf25,.0515545186389675,.28213882,-.21195652,.49409533,.0370089879474405
hhs_wt,oopg,nonfood,.4,headcount,che_oopg_nf40,.0216099148970662,.17972326,-.26794621,.44766948,.0177261103765497
hhs_wt,oopg,nonfood,.4,overshoot,over_oopg_nf40,.0036938934511926,.3825132,-.23357965,.61609286,.0022809304367652
hhs_wt,oop,nonfood,.4,headcount,che_oop_nf40,.0757128929807179,.15523729,-.18332371,.338561,.0639594293198504
hhs_wt,oop,nonfood,.4,overshoot,over_oop_nf40,.0356708834704193,.36064973,-.23120476,.59185451,.0228061886802046
ind_wt,oopg,total,.1,headcount,che_oopg_tot10,.078100499958119,.031168018,-.19655889,.22772691,.075666262230696
ind_wt,oopg,total,.1,overshoot,over_oopg_tot10,.0084079381137435,.23027943,-.23005155,.46033099,.006471762882969
ind_wt,oop,total,.1,headcount,che_oop_tot10,.1878020635016678,.078853391,-.10824869,.18710208,.172993234268727
ind_wt,oop,total,.1,overshoot,over_oop_tot10,.0298913760478352,.29048571,-.17844689,.4689326,.0212083585644551
ind_wt,oopg,total,.2,headcount,che_oopg_tot20,.0271366010834158,.14926168,-.26529515,.41455683,.0230861464804739
ind_wt,oopg,total,.2,overshoot,over_oopg_tot20,.0038527584072292,.40175915,-.23585609,.6376152,.002304877511367
ind_wt,oop,total,.2,headcount,che_oop_tot20,.0767044564438395,.13596034,-.20377697,.33973733,.0662756925071706
ind_wt,oop,total,.2,overshoot,over_oop_tot20,.0178275997714084,.41850486,-.19588093,.61438578,.0103666626813103
ind_wt,oopg,nonfood,.25,headcount,che_oopg_nf25,.0508920730047604,.044319868,-.24772455,.2920444,.048636542948634
ind_wt,oopg,nonfood,.25,overshoot,over_oopg_nf25,.0085455949681938,.2047665,-.26449996,.46926647,.0067957433902786
ind_wt,oop,nonfood,.25,headcount,che_oop_nf25,.1426881196722623,.070220523,-.1543676,.22458813,.132668485535944
ind_wt,oop,nonfood,.25,overshoot,over_oop_nf25,.0482722091028891,.26365212,-.2088899,.47254202,.0355451389645012
ind_wt,oopg,nonfood,.4,headcount,che_oopg_nf40,.0216214335567755,.15086946,-.29198802,.44285747,.0183594196665657
ind_wt,oopg,nonfood,.4,overshoot,over_oopg_nf40,.0034586096632273,.3575429,-.27698117,.63452411,.0022220083054958
ind_wt,oop,nonfood,.4,headcount,che_oop_nf40,.0718037098191029,.14185405,-.20189294,.34374699,.0616180633851098
ind_wt,oop,nonfood,.4,overshoot,over_oop_nf40,.0326910788198035,.33838779,-.22884962,.56723744,.0216288170164619
