weight,scope,denominator,threshold,convention,variable,prevalence,se,ci_low,ci_high
hhs_wt,oopg,total,.1,primary,che_oopg_tot10,.0739960321624281,.004081958,.065995544,.081996523
hhs_wt,oopg,total,.1,nlss,che_oopg_tot10_nlss,.0783743247094413,.004263042,.070018917,.086729735
hhs_wt,oop,total,.1,primary,che_oop_tot10,.1847377266789791,.0063513429,.17228933,.19718613
hhs_wt,oop,total,.1,nlss,che_oop_tot10_nlss,.1823699603596264,.006220249,.1701785,.19456142
hhs_wt,oopg,total,.2,primary,che_oopg_tot20,.0266078580771431,.0022268905,.022243233,.030972483
hhs_wt,oopg,total,.2,nlss,che_oopg_tot20_nlss,.0340678093416769,.0025122277,.029143933,.038991686
hhs_wt,oop,total,.2,primary,che_oop_tot20,.0780286069763674,.0041666613,.069862098,.086195111
hhs_wt,oop,total,.2,nlss,che_oop_tot20_nlss,.0865967407095427,.0044934158,.077789806,.095403671
hhs_wt,oopg,nonfood,.25,primary,che_oopg_nf25,.0498121162228454,.0031766016,.04358609,.056038141
hhs_wt,oopg,nonfood,.25,nlss,che_oopg_nf25_nlss,.0677054527837962,.0038672301,.06012582,.075285085
hhs_wt,oop,nonfood,.25,primary,che_oop_nf25,.1427282041774091,.0054419436,.1320622,.15339422
hhs_wt,oop,nonfood,.25,nlss,che_oop_nf25_nlss,.1607124285240756,.005959203,.14903261,.17239225
hhs_wt,oopg,nonfood,.4,primary,che_oopg_nf40,.0216099148970662,.0019531362,.017781839,.025437992
hhs_wt,oopg,nonfood,.4,nlss,che_oopg_nf40_nlss,.0411794964236243,.0028057212,.035680383,.04667861
hhs_wt,oop,nonfood,.4,primary,che_oop_nf40,.0757128929807179,.0040005799,.067871898,.083553888
hhs_wt,oop,nonfood,.4,nlss,che_oop_nf40_nlss,.0971150478040105,.0047719148,.087762266,.10646783
ind_wt,oopg,total,.1,primary,che_oopg_tot10,.078100499958119,.0050574052,.068188168,.088012829
ind_wt,oopg,total,.1,nlss,che_oopg_tot10_nlss,.0813015102494795,.0051659658,.071176402,.091426618
ind_wt,oop,total,.1,primary,che_oop_tot10,.1878020635016678,.0064767264,.17510791,.20049621
ind_wt,oop,total,.1,nlss,che_oop_tot10_nlss,.1835952493385666,.0064785103,.1708976,.19629289
ind_wt,oopg,total,.2,primary,che_oopg_tot20,.0271366010834158,.0029479477,.02135873,.032914471
ind_wt,oopg,total,.2,nlss,che_oopg_tot20_nlss,.0345043336499155,.0032189391,.028195329,.040813338
ind_wt,oop,total,.2,primary,che_oop_tot20,.0767044564438395,.0047291894,.067435414,.085973494
ind_wt,oop,total,.2,nlss,che_oop_tot20_nlss,.0847832466261685,.0050952616,.074796714,.094769776
ind_wt,oopg,nonfood,.25,primary,che_oopg_nf25,.0508920730047604,.0039254213,.043198388,.058585759
ind_wt,oopg,nonfood,.25,nlss,che_oopg_nf25_nlss,.0703087534901124,.0047243447,.061049208,.079568297
ind_wt,oop,nonfood,.25,primary,che_oop_nf25,.1426881196722623,.0057279593,.13146153,.15391472
ind_wt,oop,nonfood,.25,nlss,che_oop_nf25_nlss,.1630529581943343,.0062284386,.15084544,.17526047
ind_wt,oopg,nonfood,.4,primary,che_oopg_nf40,.0216214335567755,.0023070185,.01709976,.026143108
ind_wt,oopg,nonfood,.4,nlss,che_oopg_nf40_nlss,.041702168653259,.0034752113,.034890879,.048513457
ind_wt,oop,nonfood,.4,primary,che_oop_nf40,.0718037098191029,.0042436556,.0634863,.080121122
ind_wt,oop,nonfood,.4,nlss,che_oop_nf40_nlss,.0951863767033119,.0053550405,.08469069,.10568206
