weight,scope,denominator,threshold,primary_variable,nlss_variable,primary_prev,primary_se,nlss_prev,nlss_se,difference
hhs_wt,oopg,total,.1,che_oopg_tot10,che_oopg_tot10_nlss,.0739960321624281,.004081958,.078374326,.004263042,-.0043782927
hhs_wt,oop,total,.1,che_oop_tot10,che_oop_tot10_nlss,.1847377266789791,.0063513429,.18236996,.006220249,.0023677663
hhs_wt,oopg,total,.2,che_oopg_tot20,che_oopg_tot20_nlss,.0266078580771431,.0022268905,.03406781,.0025122277,-.0074599511
hhs_wt,oop,total,.2,che_oop_tot20,che_oop_tot20_nlss,.0780286069763674,.0041666613,.086596742,.0044934158,-.0085681342
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,che_oopg_nf25_nlss,.0498121162228454,.0031766016,.067705452,.0038672301,-.017893337
hhs_wt,oop,nonfood,.25,che_oop_nf25,che_oop_nf25_nlss,.1427282041774091,.0054419436,.16071244,.005959203,-.017984224
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,che_oopg_nf40_nlss,.0216099148970662,.0019531362,.041179497,.0028057212,-.019569581
hhs_wt,oop,nonfood,.4,che_oop_nf40,che_oop_nf40_nlss,.0757128929807179,.0040005799,.097115047,.0047719148,-.021402154
ind_wt,oopg,total,.1,che_oopg_tot10,che_oopg_tot10_nlss,.078100499958119,.0050574052,.08130151,.0051659658,-.0032010104
ind_wt,oop,total,.1,che_oop_tot10,che_oop_tot10_nlss,.1878020635016678,.0064767264,.18359526,.0064785103,.0042068143
ind_wt,oopg,total,.2,che_oopg_tot20,che_oopg_tot20_nlss,.0271366010834158,.0029479477,.034504335,.0032189391,-.0073677325
ind_wt,oop,total,.2,che_oop_tot20,che_oop_tot20_nlss,.0767044564438395,.0047291894,.084783249,.0050952616,-.0080787903
ind_wt,oopg,nonfood,.25,che_oopg_nf25,che_oopg_nf25_nlss,.0508920730047604,.0039254213,.070308752,.0047243447,-.019416681
ind_wt,oop,nonfood,.25,che_oop_nf25,che_oop_nf25_nlss,.1426881196722623,.0057279593,.16305296,.0062284386,-.020364838
ind_wt,oopg,nonfood,.4,che_oopg_nf40,che_oopg_nf40_nlss,.0216214335567755,.0023070185,.04170217,.0034752113,-.020080736
ind_wt,oop,nonfood,.4,che_oop_nf40,che_oop_nf40_nlss,.0718037098191029,.0042436556,.095186375,.0053550405,-.023382667
