weight,scope,denominator,threshold,che_variable,subgroup,subgroup_label,subgroup_value,prevalence,prevalence_se
hhs_wt,oopg,total,.1,che_oopg_tot10,poor,0,0,.0684776138601718,.0039770692
hhs_wt,oopg,total,.1,che_oopg_tot10,poor,1,1,.1015443388399575,.010126759
hhs_wt,oopg,total,.1,che_oopg_tot10,quintile_pcep,1 (poorest),1,.1028835794721241,.010263964
hhs_wt,oopg,total,.1,che_oopg_tot10,quintile_pcep,2,2,.0953274964526104,.0092095453
hhs_wt,oopg,total,.1,che_oopg_tot10,quintile_pcep,3,3,.0791397888960058,.0077397823
hhs_wt,oopg,total,.1,che_oopg_tot10,quintile_pcep,4,4,.0660410117411565,.006610862
hhs_wt,oopg,total,.1,che_oopg_tot10,quintile_pcep,5 (richest),5,.0418393024037105,.0044489
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Koshi,1,.0611211946157248,.0076015946
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Madhesh,2,.1347888498971984,.01922925
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Bagmati,3,.0554088026988218,.006769835
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Gandaki,4,.0647050266923785,.009216154
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Lumbini,5,.0507281873465535,.0072723515
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Karnali,6,.0786321366464496,.010147506
hhs_wt,oopg,total,.1,che_oopg_tot10,prov,Sudurpaschim,7,.0742307306825412,.0094611263
hhs_wt,oopg,total,.1,che_oopg_tot10,ad_4,Kathmandu,1,.0487556956238321,.010315853
hhs_wt,oopg,total,.1,che_oopg_tot10,ad_4,Other urban,2,.0770293120887807,.0060636117
hhs_wt,oopg,total,.1,che_oopg_tot10,ad_4,Rural,3,.0780027947608646,.0054362691
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Hill Caste,11,.0650059708425529,.0052432073
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Madhesh/Tarai Caste,12,.1144453842442511,.011408139
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Mountain/Hill Janajati,21,.0510060981017634,.0054998188
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Tarai Janajati,22,.0514240572225864,.0098595247
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Hill Dalit,31,.0761079822389148,.0097158281
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Madhesh/Tarai Dalit,32,.1497648721617447,.024140991
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Religions/Linguistic group,40,.1391864492558961,.024686404
hhs_wt,oopg,total,.1,che_oopg_tot10,caste_ethnicity,Others & Not stated,50,.1389796020499235,.090662025
hhs_wt,oopg,total,.1,che_oopg_tot10,head_edu_n,No education,0,.0974468641895307,.0080134682
