weight,scope,denominator,threshold,che_variable,overshoot_variable,headcount,headcount_se,overshoot,overshoot_se,mpo
hhs_wt,oopg,total,.1,che_oopg_tot10,over_oopg_tot10,.0739960321624281,.004081958,.008397284,.00059630041,.11348289
hhs_wt,oop,total,.1,che_oop_tot10,over_oop_tot10,.1847377266789791,.0063513429,.031229684,.0019636427,.16904876
hhs_wt,oopg,total,.2,che_oopg_tot20,over_oopg_tot20,.0266078580771431,.0022268905,.0039854194,.00038534767,.14978354
hhs_wt,oop,total,.2,che_oop_tot20,over_oop_tot20,.0780286069763674,.0041666613,.019150695,.0016526564,.24543172
hhs_wt,oopg,nonfood,.25,che_oopg_nf25,over_oopg_nf25,.0498121162228454,.0031766016,.0087432088,.0006698799,.17552373
hhs_wt,oop,nonfood,.25,che_oop_nf25,over_oop_nf25,.1427282041774091,.0054419436,.05155452,.0035293868,.36120763
hhs_wt,oopg,nonfood,.4,che_oopg_nf40,over_oopg_nf40,.0216099148970662,.0019531362,.0036938936,.00037926421,.17093512
hhs_wt,oop,nonfood,.4,che_oop_nf40,over_oop_nf40,.0757128929807179,.0040005799,.035670884,.0031147781,.47113353
ind_wt,oopg,total,.1,che_oopg_tot10,over_oopg_tot10,.078100499958119,.0050574052,.0084079383,.00067102513,.10765537
ind_wt,oop,total,.1,che_oop_tot10,over_oop_tot10,.1878020635016678,.0064767264,.029891375,.0019107449,.15916426
ind_wt,oopg,total,.2,che_oopg_tot20,over_oopg_tot20,.0271366010834158,.0029479477,.0038527583,.00040587946,.14197646
ind_wt,oop,total,.2,che_oop_tot20,over_oop_tot20,.0767044564438395,.0047291894,.0178276,.001596153,.23241934
ind_wt,oopg,nonfood,.25,che_oopg_nf25,over_oopg_nf25,.0508920730047604,.0039254213,.0085455952,.00073413493,.16791603
ind_wt,oop,nonfood,.25,che_oop_nf25,over_oop_nf25,.1426881196722623,.0057279593,.048272207,.0034282636,.33830574
ind_wt,oopg,nonfood,.4,che_oopg_nf40,over_oopg_nf40,.0216214335567755,.0023070185,.0034586096,.00038333746,.15996209
ind_wt,oop,nonfood,.4,che_oop_nf40,over_oop_nf40,.0718037098191029,.0042436556,.03269108,.0030320131,.45528397
