unit,weight,scope,denominator,threshold,convention,che_variable,overshoot_variable,prevalence,prevalence_se,overshoot,overshoot_se,mpo
person,person_wt,oopg,total,.05,primary,iche_oopg_tot5,iover_oopg_tot5,.1052501771822638,.0037231497,.013034742,.00057183328,.12384532
person,person_wt,oopg,total,.1,primary,iche_oopg_tot10,iover_oopg_tot10,.061793960971259,.0025582104,.0089995395,.00044901919,.14563785
person,person_wt,oopg,total,.15,primary,iche_oopg_tot15,iover_oopg_tot15,.040227893682145,.0018142209,.0064755632,.00036287957,.16097197
person,person_wt,oopg,total,.2,primary,iche_oopg_tot20,iover_oopg_tot20,.0284866774027076,.0015945244,.0047915839,.00029978552,.16820438
person,person_wt,oopg,total,.25,primary,iche_oopg_tot25,iover_oopg_tot25,.0202216324844499,.0011848684,.0036048421,.00024690392,.17826661
person,person_wt,oopg,total,.4,primary,iche_oopg_tot40,iover_oopg_tot40,.0088648873020794,.00067112094,.0015189118,.00013910496,.17134023
person,person_wt,oopg,nonfood,.05,primary,iche_oopg_nf5,iover_oopg_nf5,.1420877155013478,.0046792249,.026011221,.0010118621,.18306452
person,person_wt,oopg,nonfood,.1,primary,iche_oopg_nf10,iover_oopg_nf10,.1038600932770923,.0037362601,.019942632,.00083527056,.19201438
person,person_wt,oopg,nonfood,.15,primary,iche_oopg_nf15,iover_oopg_nf15,.0786251292580827,.0029382159,.015412318,.00069468771,.19602279
person,person_wt,oopg,nonfood,.2,primary,iche_oopg_nf20,iover_oopg_nf20,.0603596766950578,.0024827507,.01192187,.00057620881,.19751382
person,person_wt,oopg,nonfood,.25,primary,iche_oopg_nf25,iover_oopg_nf25,.0470315282018255,.0021126587,.009243831,.00047542618,.19654542
person,person_wt,oopg,nonfood,.4,primary,iche_oopg_nf40,iover_oopg_nf40,.0223702194743416,.00136832,.0042675356,.00027610105,.19076861
person,person_wt,oop,total,.05,primary,iche_oop_tot5,iover_oop_tot5,.2014324210603158,.0051103677,.028327396,.00088138122,.14062977
person,person_wt,oop,total,.1,primary,iche_oop_tot10,iover_oop_tot10,.1295785075097115,.0033426711,.020262154,.00071132916,.15636972
person,person_wt,oop,total,.15,primary,iche_oop_tot15,iover_oop_tot15,.0884892671444645,.002877787,.014894783,.00057906687,.16832305
person,person_wt,oop,total,.2,primary,iche_oop_tot20,iover_oop_tot20,.0638449348093473,.0024484268,.011129493,.00047131351,.17432068
person,person_wt,oop,total,.25,primary,iche_oop_tot25,iover_oop_tot25,.0463550740330843,.0018428734,.0084190322,.00038338406,.18162051
person,person_wt,oop,total,.4,primary,iche_oop_tot40,iover_oop_tot40,.0211309529901189,.00097718043,.0036088503,.00021818964,.17078502
person,person_wt,oop,nonfood,.05,primary,iche_oop_nf5,iover_oop_nf5,.2574155304271963,.0057872194,.05408198,.001514776,.21009602
person,person_wt,oop,nonfood,.1,primary,iche_oop_nf10,iover_oop_nf10,.1993304300669281,.0051791323,.042784519,.0012828443,.21464118
person,person_wt,oop,nonfood,.15,primary,iche_oop_nf15,iover_oop_nf15,.1568921347123342,.0041591958,.033908509,.0010834396,.21612625
person,person_wt,oop,nonfood,.2,primary,iche_oop_nf20,iover_oop_nf20,.1252064401930146,.0034667179,.026851803,.00091854838,.21446024
person,person_wt,oop,nonfood,.25,primary,iche_oop_nf25,iover_oop_nf25,.0998708862247735,.0030576112,.02122361,.0007770526,.21251048
person,person_wt,oop,nonfood,.4,primary,iche_oop_nf40,iover_oop_nf40,.0519252339185551,.0020911284,.010181566,.00045151901,.19608127
person,person_wt,oopg,total,.05,nlss,iche_oopg_tot5_nlss,iover_oopg_tot5_nlss,.1091469008618711,.0038244985,.029913448,.002093883,.27406594
person,person_wt,oopg,total,.1,nlss,iche_oopg_tot10_nlss,iover_oopg_tot10_nlss,.0682900362564162,.0027780973,.025577435,.0020226331,.37454125
person,person_wt,oopg,total,.15,nlss,iche_oopg_tot15_nlss,iover_oopg_tot15_nlss,.0491795646885159,.0021169742,.022683227,.0019716918,.46123281
person,person_wt,oopg,total,.2,nlss,iche_oopg_tot20_nlss,iover_oopg_tot20_nlss,.0365490068322705,.001689816,.020574924,.0019353072,.56294072
person,person_wt,oopg,total,.25,nlss,iche_oopg_tot25_nlss,iover_oopg_tot25_nlss,.0290298561705334,.0016103695,.018959397,.0019036463,.65309995
person,person_wt,oopg,total,.4,nlss,iche_oopg_tot40_nlss,iover_oopg_tot40_nlss,.0171324539214707,.0010050401,.015669541,.001824443,.91461164
person,person_wt,oopg,nonfood,.05,nlss,iche_oopg_nf5_nlss,iover_oopg_nf5_nlss,.1467184157133308,.0048104017,.080613196,.0058353771,.54944158
person,person_wt,oopg,nonfood,.1,nlss,iche_oopg_nf10_nlss,iover_oopg_nf10_nlss,.1119989883426429,.0039290865,.074227005,.0057442505,.66274709
person,person_wt,oopg,nonfood,.15,nlss,iche_oopg_nf15_nlss,iover_oopg_nf15_nlss,.0908583429763961,.0032313052,.069206595,.005669815,.76169777
person,person_wt,oopg,nonfood,.2,nlss,iche_oopg_nf20_nlss,iover_oopg_nf20_nlss,.0754954233969426,.0028212508,.065083943,.005607096,.86209118
person,person_wt,oopg,nonfood,.25,nlss,iche_oopg_nf25_nlss,iover_oopg_nf25_nlss,.0621691928847609,.0025740436,.061644733,.0055528902,.99156398
person,person_wt,oopg,nonfood,.4,nlss,iche_oopg_nf40_nlss,iover_oopg_nf40_nlss,.0410289772775129,.0018453733,.054023262,.0054212348,1.3167099
person,person_wt,oop,total,.05,nlss,iche_oop_tot5_nlss,iover_oop_tot5_nlss,.2051437392955418,.005211601,.063029133,.0029870402,.30724373
person,person_wt,oop,total,.1,nlss,iche_oop_tot10_nlss,iover_oop_tot10_nlss,.1389514588061583,.0035284273,.054588497,.0028703695,.3928602
person,person_wt,oop,total,.15,nlss,iche_oop_tot15_nlss,iover_oop_tot15_nlss,.102128520710042,.0031659191,.048620164,.0027811725,.47606844
person,person_wt,oop,total,.2,nlss,iche_oop_tot20_nlss,iover_oop_tot20_nlss,.0792579628464377,.0026321886,.044143893,.0027073864,.55696476
person,person_wt,oop,total,.25,nlss,iche_oop_tot25_nlss,iover_oop_tot25_nlss,.0638449348093473,.0024484268,.04058953,.0026435852,.63575172
person,person_wt,oop,total,.4,nlss,iche_oop_tot40_nlss,iover_oop_tot40_nlss,.0381461405170105,.0015330272,.03327927,.0024983324,.87241513
person,person_wt,oop,nonfood,.05,nlss,iche_oop_nf5_nlss,iover_oop_nf5_nlss,.2603327560845027,.0058360724,.16121641,.007815768,.6192705
person,person_wt,oop,nonfood,.1,nlss,iche_oop_nf10_nlss,iover_oop_nf10_nlss,.2083185830998966,.0053504109,.14961568,.0076740985,.71820611
person,person_wt,oop,nonfood,.15,nlss,iche_oop_nf15_nlss,iover_oop_nf15_nlss,.1731244205441225,.0044835163,.14014493,.0075440221,.80950409
person,person_wt,oop,nonfood,.2,nlss,iche_oop_nf20_nlss,iover_oop_nf20_nlss,.1463348046603991,.0039187083,.13220818,.0074346387,.90346372
person,person_wt,oop,nonfood,.25,nlss,iche_oop_nf25_nlss,iover_oop_nf25_nlss,.1252064401930146,.0034667179,.12542166,.0073384778,1.0017189
person,person_wt,oop,nonfood,.4,nlss,iche_oop_nf40_nlss,iover_oop_nf40_nlss,.0858690574298527,.0028718002,.10989477,.0071004941,1.2797947
