unit,weight,scope,denominator,threshold,convention,che_variable,overshoot_variable,prevalence,prevalence_se,overshoot,overshoot_se,mpo
person,person_wt,oopg,total,.05,oopg_addback,iche_oopg_tot5_oopgadd,iover_oopg_tot5_oopgadd,.1065361190066398,.0037567932,.013390294,.00058473559,.12568784
person,person_wt,oopg,total,.1,oopg_addback,iche_oopg_tot10_oopgadd,iover_oopg_tot10_oopgadd,.0629445361713122,.0025853789,.0092844153,.00046053089,.14750153
person,person_wt,oopg,total,.15,oopg_addback,iche_oopg_tot15_oopgadd,iover_oopg_tot15_oopgadd,.041435915635451,.0018449757,.0067012841,.0003730467,.16172646
person,person_wt,oopg,total,.2,oopg_addback,iche_oopg_tot20_oopgadd,iover_oopg_tot20_oopgadd,.0290298561705334,.0016103695,.0049762661,.00030842703,.17141891
person,person_wt,oopg,total,.25,oopg_addback,iche_oopg_tot25_oopgadd,iover_oopg_tot25_oopgadd,.0209006669838938,.0012323359,.0037545278,.00025393168,.17963675
person,person_wt,oopg,total,.4,oopg_addback,iche_oopg_tot40_oopgadd,iover_oopg_tot40_oopgadd,.0092355847967715,.00068739359,.0015983969,.00014426278,.17306937
person,person_wt,oopg,nonfood,.05,oopg_addback,iche_oopg_nf5_oopgadd,iover_oopg_nf5_oopgadd,.1443632487314032,.0047853361,.027023442,.0010502263,.18719059
person,person_wt,oopg,nonfood,.1,oopg_addback,iche_oopg_nf10_oopgadd,iover_oopg_nf10_oopgadd,.106486507073989,.0038192871,.020836489,.0008695224,.19567259
person,person_wt,oopg,nonfood,.15,oopg_addback,iche_oopg_nf15_oopgadd,iover_oopg_nf15_oopgadd,.0812265792647571,.003005337,.016168827,.0007249419,.19905834
person,person_wt,oopg,nonfood,.2,oopg_addback,iche_oopg_nf20_oopgadd,iover_oopg_nf20_oopgadd,.0621691928847609,.0025740436,.012566429,.00060410367,.20213273
person,person_wt,oopg,nonfood,.25,oopg_addback,iche_oopg_nf25_oopgadd,iover_oopg_nf25_oopgadd,.0492700685417199,.0022199096,.0097785825,.00049732672,.19846903
person,person_wt,oopg,nonfood,.4,oopg_addback,iche_oopg_nf40_oopgadd,iover_oopg_nf40_oopgadd,.0234018976747583,.0014018032,.0045565306,.00028793991,.19470774
person,person_wt,oop,total,.05,oopg_addback,iche_oop_tot5_oopgadd,iover_oop_tot5_oopgadd,.2028232320611245,.0051343632,.045538187,.0019573399,.22452155
person,person_wt,oop,total,.1,oopg_addback,iche_oop_tot10_oopgadd,iover_oop_tot10_oopgadd,.1339533361949055,.0034099575,.037302885,.0018449856,.27847672
person,person_wt,oop,total,.15,oopg_addback,iche_oop_tot15_oopgadd,iover_oop_tot15_oopgadd,.0944428632870503,.0029731374,.031639811,.0017614597,.33501539
person,person_wt,oop,total,.2,oopg_addback,iche_oop_tot20_oopgadd,iover_oop_tot20_oopgadd,.0722095002854114,.0027052651,.027525337,.0016915185,.3811872
person,person_wt,oop,total,.25,oopg_addback,iche_oop_tot25_oopgadd,iover_oop_tot25_oopgadd,.0553416545021771,.002154385,.024374487,.0016315144,.44043654
person,person_wt,oop,total,.4,oopg_addback,iche_oop_tot40_oopgadd,iover_oop_tot40_oopgadd,.0303453007719415,.0012859455,.018209998,.00150815,.60009283
person,person_wt,oop,nonfood,.05,oopg_addback,iche_oop_nf5_oopgadd,iover_oop_nf5_oopgadd,.2584102337660273,.0058074105,.10323226,.0042062625,.39948985
person,person_wt,oop,nonfood,.1,oopg_addback,iche_oop_nf10_oopgadd,iover_oop_nf10_oopgadd,.2034034948639583,.0052508027,.091802344,.0040642167,.45133123
person,person_wt,oop,nonfood,.15,oopg_addback,iche_oop_nf15_oopgadd,iover_oop_nf15_oopgadd,.164146831519983,.0042777532,.082651399,.0039414712,.50352114
person,person_wt,oop,nonfood,.2,oopg_addback,iche_oop_nf20_oopgadd,iover_oop_nf20_oopgadd,.1345701480147689,.0035278061,.075182289,.0038409585,.55868471
person,person_wt,oop,nonfood,.25,oopg_addback,iche_oop_nf25_oopgadd,iover_oop_nf25_oopgadd,.112433745590504,.0032311901,.069015644,.0037548807,.6138339
person,person_wt,oop,nonfood,.4,oopg_addback,iche_oop_nf40_oopgadd,iover_oop_nf40_oopgadd,.0685799463623483,.0026031535,.055814944,.0035435806,.81386679
