scope,metric,pre_estimate,post_estimate,difference,relative_change,people_pushed,households_pushed
oopg,poverty_headcount,.1880474367001642,.20270485,.014657414,.0779452996886923,421261.47,131
oopg,poverty_gap_annual_npr,2918.941837125271,3295.4099,376.46805,.1289741521205399,421261.47,131
oopg,normalized_poverty_gap,.0400359308518107,.045199532,.0051636002,.1289741508471675,421261.47,131
oopg,mean_positive_gap_annual_npr,15522.36971876109,16257.184,734.81348,.0473389998978466,421261.47,131
oopg,mean_positive_normalized_gap,.2129033586118313,.22298199,.010078632,.0473389989269109,421261.47,131
oop,poverty_headcount,.1727384680673873,.20270485,.029966382,.1734783385387629,861248.94,270
oop,poverty_gap_annual_npr,2612.760907897301,3295.4099,682.64899,.2612749508372562,861248.94,270
oop,normalized_poverty_gap,.0358363821029397,.045199532,.0093631493,.2612749498565741,861248.94,270
oop,mean_positive_gap_annual_npr,15125.53015624772,16257.184,1131.6531,.0748174119752557,861248.94,270
oop,mean_positive_normalized_gap,.2074603445537071,.22298199,.015521646,.0748174112810614,861248.94,270
